learning_rate = 0.1
ml.tf_train(learning_rate=learning_rate, test=False, mode=mode, loops=5000)


percent test accuracy 0.469999998808, loop: 10
percent test accuracy 0.49200001359, loop: 20
percent test accuracy 0.501999974251, loop: 30
percent test accuracy 0.51599997282, loop: 40
percent test accuracy 0.513999998569, loop: 50
percent test accuracy 0.518000006676, loop: 60
percent test accuracy 0.519999980927, loop: 70
percent test accuracy 0.523999989033, loop: 80
percent test accuracy 0.52999997139, loop: 90
percent test accuracy 0.52999997139, loop: 100
percent test accuracy 0.536000013351, loop: 110
percent test accuracy 0.536000013351, loop: 120
percent test accuracy 0.533999979496, loop: 130
percent test accuracy 0.536000013351, loop: 140
percent test accuracy 0.537999987602, loop: 150
percent test accuracy 0.536000013351, loop: 160
percent test accuracy 0.537999987602, loop: 170
percent test accuracy 0.540000021458, loop: 180
percent test accuracy 0.537999987602, loop: 190
percent test accuracy 0.537999987602, loop: 200
percent test accuracy 0.544000029564, loop: 210
percent test accuracy 0.544000029564, loop: 220
percent test accuracy 0.540000021458, loop: 230
percent test accuracy 0.540000021458, loop: 240
percent test accuracy 0.544000029564, loop: 250
percent test accuracy 0.546000003815, loop: 260
percent test accuracy 0.541999995708, loop: 270
percent test accuracy 0.547999978065, loop: 280
percent test accuracy 0.546000003815, loop: 290
percent test accuracy 0.546000003815, loop: 300
percent test accuracy 0.544000029564, loop: 310
percent test accuracy 0.550000011921, loop: 320
percent test accuracy 0.547999978065, loop: 330
percent test accuracy 0.550000011921, loop: 340
percent test accuracy 0.550000011921, loop: 350
percent test accuracy 0.550000011921, loop: 360
percent test accuracy 0.551999986172, loop: 370
percent test accuracy 0.560000002384, loop: 380
percent test accuracy 0.554000020027, loop: 390
percent test accuracy 0.555999994278, loop: 400
percent test accuracy 0.555999994278, loop: 410
percent test accuracy 0.558000028133, loop: 420
percent test accuracy 0.558000028133, loop: 430
percent test accuracy 0.56400001049, loop: 440
percent test accuracy 0.565999984741, loop: 450
percent test accuracy 0.568000018597, loop: 460
percent test accuracy 0.56400001049, loop: 470
percent test accuracy 0.56400001049, loop: 480
percent test accuracy 0.565999984741, loop: 490
percent test accuracy 0.568000018597, loop: 500
percent test accuracy 0.569999992847, loop: 510
percent test accuracy 0.568000018597, loop: 520
percent test accuracy 0.572000026703, loop: 530
percent test accuracy 0.574000000954, loop: 540
percent test accuracy 0.575999975204, loop: 550
percent test accuracy 0.575999975204, loop: 560
percent test accuracy 0.572000026703, loop: 570
percent test accuracy 0.575999975204, loop: 580
percent test accuracy 0.572000026703, loop: 590
percent test accuracy 0.572000026703, loop: 600
