learning_rate = 0.1
ml.tf_mean_train(learning_rate=learning_rate, test=False, mode=mode, loops=1000)


percent test accuracy 0.363999992609, loop: 10
percent test accuracy 0.377999991179, loop: 20
percent test accuracy 0.377999991179, loop: 30
percent test accuracy 0.375999987125, loop: 40
percent test accuracy 0.374000012875, loop: 50
percent test accuracy 0.375999987125, loop: 60
percent test accuracy 0.379999995232, loop: 70
percent test accuracy 0.388000011444, loop: 80
percent test accuracy 0.386000007391, loop: 90
percent test accuracy 0.389999985695, loop: 100
percent test accuracy 0.393999993801, loop: 110
percent test accuracy 0.386000007391, loop: 120
percent test accuracy 0.379999995232, loop: 130
percent test accuracy 0.388000011444, loop: 140
percent test accuracy 0.395999997854, loop: 150
percent test accuracy 0.389999985695, loop: 160
percent test accuracy 0.393999993801, loop: 170
percent test accuracy 0.389999985695, loop: 180
percent test accuracy 0.389999985695, loop: 190
percent test accuracy 0.398000001907, loop: 200
percent test accuracy 0.393999993801, loop: 210
percent test accuracy 0.388000011444, loop: 220
percent test accuracy 0.393999993801, loop: 230
percent test accuracy 0.389999985695, loop: 240
percent test accuracy 0.393999993801, loop: 250
percent test accuracy 0.40000000596, loop: 260
percent test accuracy 0.402000010014, loop: 270
percent test accuracy 0.404000014067, loop: 280
percent test accuracy 0.404000014067, loop: 290
percent test accuracy 0.404000014067, loop: 300
percent test accuracy 0.402000010014, loop: 310
percent test accuracy 0.405999988317, loop: 320
percent test accuracy 0.405999988317, loop: 330
percent test accuracy 0.405999988317, loop: 340
percent test accuracy 0.407999992371, loop: 350
percent test accuracy 0.409999996424, loop: 360
percent test accuracy 0.409999996424, loop: 370
percent test accuracy 0.409999996424, loop: 380
percent test accuracy 0.409999996424, loop: 390
percent test accuracy 0.409999996424, loop: 400
percent test accuracy 0.41400000453, loop: 410
percent test accuracy 0.41400000453, loop: 420
percent test accuracy 0.416000008583, loop: 430
percent test accuracy 0.41400000453, loop: 440
percent test accuracy 0.418000012636, loop: 450
percent test accuracy 0.418000012636, loop: 460
percent test accuracy 0.419999986887, loop: 470
percent test accuracy 0.419999986887, loop: 480
percent test accuracy 0.423999994993, loop: 490
percent test accuracy 0.423999994993, loop: 500
percent test accuracy 0.423999994993, loop: 510
percent test accuracy 0.425999999046, loop: 520
percent test accuracy 0.425999999046, loop: 530
percent test accuracy 0.423999994993, loop: 540
percent test accuracy 0.425999999046, loop: 550
percent test accuracy 0.425999999046, loop: 560
percent test accuracy 0.430000007153, loop: 570
percent test accuracy 0.432000011206, loop: 580
