learning_rate = 0.1
ml.tf_train(learning_rate=learning_rate, test=False, mode=mode, loops=1000)


percent test accuracy 0.51599997282, loop: 10
percent test accuracy 0.541999995708, loop: 20
percent test accuracy 0.558000028133, loop: 30
percent test accuracy 0.575999975204, loop: 40
percent test accuracy 0.592000007629, loop: 50
percent test accuracy 0.59399998188, loop: 60
percent test accuracy 0.597999989986, loop: 70
percent test accuracy 0.601999998093, loop: 80
percent test accuracy 0.600000023842, loop: 90
percent test accuracy 0.610000014305, loop: 100
percent test accuracy 0.624000012875, loop: 110
percent test accuracy 0.639999985695, loop: 120
percent test accuracy 0.634000003338, loop: 130
percent test accuracy 0.648000001907, loop: 140
percent test accuracy 0.64200001955, loop: 150
percent test accuracy 0.649999976158, loop: 160
percent test accuracy 0.646000027657, loop: 170
percent test accuracy 0.653999984264, loop: 180
percent test accuracy 0.657999992371, loop: 190
percent test accuracy 0.660000026226, loop: 200
percent test accuracy 0.663999974728, loop: 210
percent test accuracy 0.660000026226, loop: 220
percent test accuracy 0.663999974728, loop: 230
percent test accuracy 0.674000024796, loop: 240
percent test accuracy 0.675999999046, loop: 250
percent test accuracy 0.675999999046, loop: 260
percent test accuracy 0.675999999046, loop: 270
percent test accuracy 0.680000007153, loop: 280
percent test accuracy 0.681999981403, loop: 290
percent test accuracy 0.68599998951, loop: 300
percent test accuracy 0.691999971867, loop: 310
percent test accuracy 0.694000005722, loop: 320
percent test accuracy 0.695999979973, loop: 330
percent test accuracy 0.689999997616, loop: 340
percent test accuracy 0.702000021935, loop: 350
percent test accuracy 0.695999979973, loop: 360
percent test accuracy 0.699999988079, loop: 370
percent test accuracy 0.698000013828, loop: 380
percent test accuracy 0.703999996185, loop: 390
percent test accuracy 0.699999988079, loop: 400
percent test accuracy 0.708000004292, loop: 410
percent test accuracy 0.702000021935, loop: 420
percent test accuracy 0.698000013828, loop: 430
percent test accuracy 0.698000013828, loop: 440
percent test accuracy 0.699999988079, loop: 450
percent test accuracy 0.699999988079, loop: 460
percent test accuracy 0.699999988079, loop: 470
percent test accuracy 0.703999996185, loop: 480
percent test accuracy 0.705999970436, loop: 490
percent test accuracy 0.712000012398, loop: 500
percent test accuracy 0.705999970436, loop: 510
percent test accuracy 0.709999978542, loop: 520
percent test accuracy 0.699999988079, loop: 530
percent test accuracy 0.712000012398, loop: 540
percent test accuracy 0.709999978542, loop: 550
percent test accuracy 0.717999994755, loop: 560
percent test accuracy 0.722000002861, loop: 570
percent test accuracy 0.713999986649, loop: 580
percent test accuracy 0.726000010967, loop: 590
percent test accuracy 0.72000002861, loop: 600
percent test accuracy 0.727999985218, loop: 610
percent test accuracy 0.730000019073, loop: 620
percent test accuracy 0.72000002861, loop: 630
percent test accuracy 0.727999985218, loop: 640
percent test accuracy 0.722000002861, loop: 650
percent test accuracy 0.723999977112, loop: 660
percent test accuracy 0.736000001431, loop: 670
percent test accuracy 0.740000009537, loop: 680
percent test accuracy 0.741999983788, loop: 690
percent test accuracy 0.737999975681, loop: 700
percent test accuracy 0.75, loop: 710
percent test accuracy 0.744000017643, loop: 720
percent test accuracy 0.748000025749, loop: 730
percent test accuracy 0.75, loop: 740
percent test accuracy 0.755999982357, loop: 750
percent test accuracy 0.751999974251, loop: 760
percent test accuracy 0.745999991894, loop: 770
