learning_rate = 0.1
ml.tf_train(learning_rate=learning_rate, test=False, mode=mode, loops=1000)


percent test accuracy 0.291999995708, loop: 10
percent test accuracy 0.324000000954, loop: 20
percent test accuracy 0.344000011683, loop: 30
percent test accuracy 0.356000006199, loop: 40
percent test accuracy 0.391999989748, loop: 50
percent test accuracy 0.398000001907, loop: 60
percent test accuracy 0.395999997854, loop: 70
percent test accuracy 0.398000001907, loop: 80
percent test accuracy 0.41400000453, loop: 90
percent test accuracy 0.418000012636, loop: 100
percent test accuracy 0.41400000453, loop: 110
percent test accuracy 0.409999996424, loop: 120
percent test accuracy 0.428000003099, loop: 130
percent test accuracy 0.433999985456, loop: 140
percent test accuracy 0.449999988079, loop: 150
percent test accuracy 0.451999992132, loop: 160
percent test accuracy 0.442000001669, loop: 170
percent test accuracy 0.448000013828, loop: 180
percent test accuracy 0.449999988079, loop: 190
percent test accuracy 0.460000008345, loop: 200
percent test accuracy 0.465999990702, loop: 210
percent test accuracy 0.463999986649, loop: 220
percent test accuracy 0.474000006914, loop: 230
percent test accuracy 0.477999985218, loop: 240
percent test accuracy 0.474000006914, loop: 250
percent test accuracy 0.488000005484, loop: 260
percent test accuracy 0.488000005484, loop: 270
percent test accuracy 0.490000009537, loop: 280
percent test accuracy 0.495999991894, loop: 290
percent test accuracy 0.493999987841, loop: 300
percent test accuracy 0.508000016212, loop: 310
percent test accuracy 0.501999974251, loop: 320
percent test accuracy 0.508000016212, loop: 330
percent test accuracy 0.509999990463, loop: 340
percent test accuracy 0.508000016212, loop: 350
percent test accuracy 0.51599997282, loop: 360
percent test accuracy 0.51599997282, loop: 370
percent test accuracy 0.508000016212, loop: 380
percent test accuracy 0.526000022888, loop: 390
percent test accuracy 0.522000014782, loop: 400
percent test accuracy 0.526000022888, loop: 410
percent test accuracy 0.522000014782, loop: 420
percent test accuracy 0.527999997139, loop: 430
percent test accuracy 0.533999979496, loop: 440
percent test accuracy 0.541999995708, loop: 450
percent test accuracy 0.540000021458, loop: 460
percent test accuracy 0.540000021458, loop: 470
percent test accuracy 0.533999979496, loop: 480
percent test accuracy 0.52999997139, loop: 490
percent test accuracy 0.536000013351, loop: 500
percent test accuracy 0.537999987602, loop: 510
percent test accuracy 0.536000013351, loop: 520
percent test accuracy 0.541999995708, loop: 530
percent test accuracy 0.546000003815, loop: 540
percent test accuracy 0.551999986172, loop: 550
percent test accuracy 0.550000011921, loop: 560
percent test accuracy 0.546000003815, loop: 570
percent test accuracy 0.544000029564, loop: 580
percent test accuracy 0.550000011921, loop: 590
percent test accuracy 0.554000020027, loop: 600
percent test accuracy 0.565999984741, loop: 610
percent test accuracy 0.56400001049, loop: 620
percent test accuracy 0.565999984741, loop: 630
percent test accuracy 0.565999984741, loop: 640
percent test accuracy 0.558000028133, loop: 650
percent test accuracy 0.558000028133, loop: 660
percent test accuracy 0.558000028133, loop: 670
percent test accuracy 0.565999984741, loop: 680
percent test accuracy 0.572000026703, loop: 690
percent test accuracy 0.551999986172, loop: 700
percent test accuracy 0.572000026703, loop: 710
percent test accuracy 0.568000018597, loop: 720
percent test accuracy 0.572000026703, loop: 730
percent test accuracy 0.579999983311, loop: 740
percent test accuracy 0.575999975204, loop: 750
percent test accuracy 0.574000000954, loop: 760
percent test accuracy 0.579999983311, loop: 770
percent test accuracy 0.582000017166, loop: 780
percent test accuracy 0.586000025272, loop: 790
percent test accuracy 0.587999999523, loop: 800
percent test accuracy 0.583999991417, loop: 810
percent test accuracy 0.579999983311, loop: 820
percent test accuracy 0.583999991417, loop: 830
percent test accuracy 0.579999983311, loop: 840
percent test accuracy 0.583999991417, loop: 850
percent test accuracy 0.587999999523, loop: 860
percent test accuracy 0.583999991417, loop: 870
percent test accuracy 0.589999973774, loop: 880
percent test accuracy 0.587999999523, loop: 890
percent test accuracy 0.586000025272, loop: 900
percent test accuracy 0.59399998188, loop: 910
percent test accuracy 0.587999999523, loop: 920
percent test accuracy 0.583999991417, loop: 930
percent test accuracy 0.596000015736, loop: 940
percent test accuracy 0.603999972343, loop: 950
percent test accuracy 0.597999989986, loop: 960
percent test accuracy 0.603999972343, loop: 970
percent test accuracy 0.601999998093, loop: 980
percent test accuracy 0.600000023842, loop: 990
percent test accuracy 0.600000023842, loop: 1000


percent test accuracy 0.597999989986, loop: 10
percent test accuracy 0.610000014305, loop: 20
percent test accuracy 0.597999989986, loop: 30
percent test accuracy 0.601999998093, loop: 40
percent test accuracy 0.600000023842, loop: 50
percent test accuracy 0.600000023842, loop: 60
percent test accuracy 0.592000007629, loop: 70
percent test accuracy 0.592000007629, loop: 80
percent test accuracy 0.597999989986, loop: 90
percent test accuracy 0.606000006199, loop: 100
percent test accuracy 0.606000006199, loop: 110
percent test accuracy 0.597999989986, loop: 120
percent test accuracy 0.589999973774, loop: 130
percent test accuracy 0.603999972343, loop: 140
percent test accuracy 0.597999989986, loop: 150
percent test accuracy 0.601999998093, loop: 160
percent test accuracy 0.603999972343, loop: 170
percent test accuracy 0.597999989986, loop: 180
percent test accuracy 0.600000023842, loop: 190
percent test accuracy 0.597999989986, loop: 200
percent test accuracy 0.606000006199, loop: 210
percent test accuracy 0.611999988556, loop: 220
percent test accuracy 0.614000022411, loop: 230
percent test accuracy 0.614000022411, loop: 240
percent test accuracy 0.60799998045, loop: 250
percent test accuracy 0.610000014305, loop: 260
percent test accuracy 0.611999988556, loop: 270
percent test accuracy 0.615999996662, loop: 280
percent test accuracy 0.617999970913, loop: 290
percent test accuracy 0.603999972343, loop: 300
percent test accuracy 0.610000014305, loop: 310
percent test accuracy 0.624000012875, loop: 320
percent test accuracy 0.610000014305, loop: 330
percent test accuracy 0.614000022411, loop: 340
percent test accuracy 0.60799998045, loop: 350
percent test accuracy 0.611999988556, loop: 360
percent test accuracy 0.624000012875, loop: 370
percent test accuracy 0.621999979019, loop: 380
percent test accuracy 0.621999979019, loop: 390
percent test accuracy 0.624000012875, loop: 400
percent test accuracy 0.614000022411, loop: 410
percent test accuracy 0.611999988556, loop: 420
percent test accuracy 0.617999970913, loop: 430
percent test accuracy 0.628000020981, loop: 440
percent test accuracy 0.624000012875, loop: 450
percent test accuracy 0.615999996662, loop: 460
percent test accuracy 0.629999995232, loop: 470
percent test accuracy 0.624000012875, loop: 480
percent test accuracy 0.620000004768, loop: 490
percent test accuracy 0.621999979019, loop: 500
percent test accuracy 0.615999996662, loop: 510
percent test accuracy 0.628000020981, loop: 520
percent test accuracy 0.620000004768, loop: 530
percent test accuracy 0.615999996662, loop: 540
percent test accuracy 0.624000012875, loop: 550
percent test accuracy 0.625999987125, loop: 560
percent test accuracy 0.628000020981, loop: 570
percent test accuracy 0.614000022411, loop: 580
percent test accuracy 0.615999996662, loop: 590
percent test accuracy 0.620000004768, loop: 600
percent test accuracy 0.621999979019, loop: 610
percent test accuracy 0.615999996662, loop: 620
percent test accuracy 0.620000004768, loop: 630
percent test accuracy 0.617999970913, loop: 640
percent test accuracy 0.624000012875, loop: 650
percent test accuracy 0.620000004768, loop: 660
percent test accuracy 0.625999987125, loop: 670
percent test accuracy 0.624000012875, loop: 680
percent test accuracy 0.624000012875, loop: 690
percent test accuracy 0.617999970913, loop: 700
percent test accuracy 0.621999979019, loop: 710
percent test accuracy 0.638000011444, loop: 720
percent test accuracy 0.629999995232, loop: 730
percent test accuracy 0.629999995232, loop: 740
percent test accuracy 0.629999995232, loop: 750
percent test accuracy 0.639999985695, loop: 760
percent test accuracy 0.632000029087, loop: 770
percent test accuracy 0.629999995232, loop: 780
percent test accuracy 0.615999996662, loop: 790
percent test accuracy 0.625999987125, loop: 800
percent test accuracy 0.632000029087, loop: 810
percent test accuracy 0.629999995232, loop: 820
percent test accuracy 0.629999995232, loop: 830
percent test accuracy 0.639999985695, loop: 840
percent test accuracy 0.639999985695, loop: 850
percent test accuracy 0.649999976158, loop: 860
percent test accuracy 0.638000011444, loop: 870
percent test accuracy 0.648000001907, loop: 880
percent test accuracy 0.649999976158, loop: 890
percent test accuracy 0.648000001907, loop: 900
percent test accuracy 0.64200001955, loop: 910
percent test accuracy 0.648000001907, loop: 920
percent test accuracy 0.652000010014, loop: 930
percent test accuracy 0.638000011444, loop: 940
percent test accuracy 0.648000001907, loop: 950
percent test accuracy 0.652000010014, loop: 960
percent test accuracy 0.649999976158, loop: 970
percent test accuracy 0.632000029087, loop: 980
percent test accuracy 0.639999985695, loop: 990
percent test accuracy 0.639999985695, loop: 1000


percent test accuracy 0.648000001907, loop: 10
percent test accuracy 0.646000027657, loop: 20
percent test accuracy 0.649999976158, loop: 30
percent test accuracy 0.657999992371, loop: 40
percent test accuracy 0.653999984264, loop: 50
percent test accuracy 0.649999976158, loop: 60
percent test accuracy 0.653999984264, loop: 70
percent test accuracy 0.65600001812, loop: 80
percent test accuracy 0.646000027657, loop: 90
percent test accuracy 0.64200001955, loop: 100
percent test accuracy 0.65600001812, loop: 110
percent test accuracy 0.657999992371, loop: 120
percent test accuracy 0.652000010014, loop: 130
percent test accuracy 0.649999976158, loop: 140
percent test accuracy 0.643999993801, loop: 150
percent test accuracy 0.652000010014, loop: 160
percent test accuracy 0.653999984264, loop: 170
percent test accuracy 0.648000001907, loop: 180
percent test accuracy 0.646000027657, loop: 190
percent test accuracy 0.657999992371, loop: 200
percent test accuracy 0.652000010014, loop: 210
percent test accuracy 0.639999985695, loop: 220
percent test accuracy 0.638000011444, loop: 230
percent test accuracy 0.653999984264, loop: 240
percent test accuracy 0.65600001812, loop: 250
percent test accuracy 0.65600001812, loop: 260
percent test accuracy 0.652000010014, loop: 270
percent test accuracy 0.652000010014, loop: 280
percent test accuracy 0.65600001812, loop: 290
percent test accuracy 0.662000000477, loop: 300
percent test accuracy 0.660000026226, loop: 310
percent test accuracy 0.653999984264, loop: 320
