learning_rate = 0.1
ml.tf_mean_train(learning_rate=learning_rate, test=False, mode=mode, loops=1000)


percent test accuracy 0.607500016689, loop: 10
percent test accuracy 0.622500002384, loop: 20
percent test accuracy 0.627499997616, loop: 30
percent test accuracy 0.634999990463, loop: 40
percent test accuracy 0.644999980927, loop: 50
percent test accuracy 0.647499978542, loop: 60
percent test accuracy 0.65750002861, loop: 70
percent test accuracy 0.665000021458, loop: 80
percent test accuracy 0.670000016689, loop: 90
percent test accuracy 0.682500004768, loop: 100
percent test accuracy 0.694999992847, loop: 110
percent test accuracy 0.704999983311, loop: 120
percent test accuracy 0.697499990463, loop: 130
percent test accuracy 0.71749997139, loop: 140
percent test accuracy 0.714999973774, loop: 150
percent test accuracy 0.71749997139, loop: 160
percent test accuracy 0.725000023842, loop: 170
percent test accuracy 0.725000023842, loop: 180
percent test accuracy 0.714999973774, loop: 190
percent test accuracy 0.732500016689, loop: 200
percent test accuracy 0.72000002861, loop: 210
percent test accuracy 0.732500016689, loop: 220
percent test accuracy 0.727500021458, loop: 230
percent test accuracy 0.730000019073, loop: 240
percent test accuracy 0.730000019073, loop: 250
percent test accuracy 0.737500011921, loop: 260
percent test accuracy 0.735000014305, loop: 270
percent test accuracy 0.740000009537, loop: 280
percent test accuracy 0.740000009537, loop: 290
percent test accuracy 0.730000019073, loop: 300
percent test accuracy 0.737500011921, loop: 310
percent test accuracy 0.735000014305, loop: 320
percent test accuracy 0.737500011921, loop: 330
percent test accuracy 0.742500007153, loop: 340
percent test accuracy 0.740000009537, loop: 350
percent test accuracy 0.740000009537, loop: 360
percent test accuracy 0.745000004768, loop: 370
percent test accuracy 0.75, loop: 380
percent test accuracy 0.747500002384, loop: 390
percent test accuracy 0.747500002384, loop: 400
percent test accuracy 0.745000004768, loop: 410
percent test accuracy 0.75, loop: 420
percent test accuracy 0.747500002384, loop: 430
percent test accuracy 0.757499992847, loop: 440
percent test accuracy 0.754999995232, loop: 450
percent test accuracy 0.757499992847, loop: 460
percent test accuracy 0.754999995232, loop: 470
percent test accuracy 0.754999995232, loop: 480
percent test accuracy 0.752499997616, loop: 490
percent test accuracy 0.764999985695, loop: 500
percent test accuracy 0.762499988079, loop: 510
percent test accuracy 0.757499992847, loop: 520
percent test accuracy 0.767499983311, loop: 530
percent test accuracy 0.767499983311, loop: 540
percent test accuracy 0.767499983311, loop: 550
percent test accuracy 0.77999997139, loop: 560
percent test accuracy 0.769999980927, loop: 570
percent test accuracy 0.772499978542, loop: 580
percent test accuracy 0.78250002861, loop: 590
percent test accuracy 0.774999976158, loop: 600
percent test accuracy 0.777499973774, loop: 610
percent test accuracy 0.78250002861, loop: 620
percent test accuracy 0.767499983311, loop: 630
percent test accuracy 0.774999976158, loop: 640
percent test accuracy 0.785000026226, loop: 650
percent test accuracy 0.785000026226, loop: 660
percent test accuracy 0.785000026226, loop: 670
percent test accuracy 0.785000026226, loop: 680
percent test accuracy 0.785000026226, loop: 690
percent test accuracy 0.77999997139, loop: 700
percent test accuracy 0.772499978542, loop: 710
percent test accuracy 0.772499978542, loop: 720
percent test accuracy 0.790000021458, loop: 730
percent test accuracy 0.785000026226, loop: 740
percent test accuracy 0.77999997139, loop: 750
percent test accuracy 0.774999976158, loop: 760
percent test accuracy 0.774999976158, loop: 770
percent test accuracy 0.769999980927, loop: 780
percent test accuracy 0.774999976158, loop: 790
percent test accuracy 0.772499978542, loop: 800
percent test accuracy 0.777499973774, loop: 810
percent test accuracy 0.767499983311, loop: 820
percent test accuracy 0.774999976158, loop: 830
percent test accuracy 0.772499978542, loop: 840
percent test accuracy 0.769999980927, loop: 850
percent test accuracy 0.774999976158, loop: 860
percent test accuracy 0.78250002861, loop: 870
percent test accuracy 0.78250002861, loop: 880
percent test accuracy 0.790000021458, loop: 890
percent test accuracy 0.792500019073, loop: 900
percent test accuracy 0.787500023842, loop: 910
percent test accuracy 0.78250002861, loop: 920
percent test accuracy 0.78250002861, loop: 930
percent test accuracy 0.787500023842, loop: 940
percent test accuracy 0.78250002861, loop: 950
percent test accuracy 0.787500023842, loop: 960
percent test accuracy 0.77999997139, loop: 970
percent test accuracy 0.785000026226, loop: 980
percent test accuracy 0.787500023842, loop: 990
percent test accuracy 0.790000021458, loop: 1000
percent test accuracy 0.790000021458, loop: 1001



percent test accuracy 0.795000016689, loop: 10
percent test accuracy 0.787500023842, loop: 20
percent test accuracy 0.795000016689, loop: 30
percent test accuracy 0.800000011921, loop: 40
percent test accuracy 0.795000016689, loop: 50
percent test accuracy 0.805000007153, loop: 60
percent test accuracy 0.790000021458, loop: 70
percent test accuracy 0.802500009537, loop: 80
percent test accuracy 0.797500014305, loop: 90
percent test accuracy 0.800000011921, loop: 100
percent test accuracy 0.797500014305, loop: 110
percent test accuracy 0.797500014305, loop: 120
percent test accuracy 0.790000021458, loop: 130
percent test accuracy 0.800000011921, loop: 140
percent test accuracy 0.802500009537, loop: 150
percent test accuracy 0.795000016689, loop: 160
percent test accuracy 0.797500014305, loop: 170
percent test accuracy 0.792500019073, loop: 180
percent test accuracy 0.800000011921, loop: 190
percent test accuracy 0.792500019073, loop: 200
percent test accuracy 0.787500023842, loop: 210
percent test accuracy 0.797500014305, loop: 220
percent test accuracy 0.800000011921, loop: 230
percent test accuracy 0.805000007153, loop: 240
percent test accuracy 0.795000016689, loop: 250
percent test accuracy 0.805000007153, loop: 260
percent test accuracy 0.797500014305, loop: 270
percent test accuracy 0.797500014305, loop: 280
percent test accuracy 0.797500014305, loop: 290
percent test accuracy 0.807500004768, loop: 300
percent test accuracy 0.805000007153, loop: 310
percent test accuracy 0.802500009537, loop: 320
percent test accuracy 0.805000007153, loop: 330
percent test accuracy 0.810000002384, loop: 340
percent test accuracy 0.800000011921, loop: 350
percent test accuracy 0.805000007153, loop: 360
percent test accuracy 0.800000011921, loop: 370
percent test accuracy 0.800000011921, loop: 380
percent test accuracy 0.797500014305, loop: 390
percent test accuracy 0.797500014305, loop: 400
percent test accuracy 0.795000016689, loop: 410
percent test accuracy 0.797500014305, loop: 420
percent test accuracy 0.785000026226, loop: 430
percent test accuracy 0.795000016689, loop: 440
percent test accuracy 0.800000011921, loop: 450
percent test accuracy 0.795000016689, loop: 460
percent test accuracy 0.792500019073, loop: 470
percent test accuracy 0.797500014305, loop: 480
percent test accuracy 0.797500014305, loop: 490
percent test accuracy 0.797500014305, loop: 500
percent test accuracy 0.800000011921, loop: 510
percent test accuracy 0.802500009537, loop: 520
percent test accuracy 0.800000011921, loop: 530
percent test accuracy 0.797500014305, loop: 540
percent test accuracy 0.807500004768, loop: 550
percent test accuracy 0.805000007153, loop: 560
percent test accuracy 0.807500004768, loop: 570
percent test accuracy 0.807500004768, loop: 580
percent test accuracy 0.802500009537, loop: 590
percent test accuracy 0.802500009537, loop: 600
percent test accuracy 0.802500009537, loop: 610
percent test accuracy 0.802500009537, loop: 620
percent test accuracy 0.802500009537, loop: 630
percent test accuracy 0.810000002384, loop: 640
percent test accuracy 0.819999992847, loop: 650
percent test accuracy 0.807500004768, loop: 660
