learning_rate = 0.1
ml.tf_train(learning_rate=learning_rate, test=False, mode=mode, loops=3000)


percent test accuracy 0.184000000358, loop: 10
percent test accuracy 0.189999997616, loop: 20
percent test accuracy 0.20000000298, loop: 30
percent test accuracy 0.202000007033, loop: 40
percent test accuracy 0.216000005603, loop: 50
percent test accuracy 0.219999998808, loop: 60
percent test accuracy 0.217999994755, loop: 70
percent test accuracy 0.230000004172, loop: 80
percent test accuracy 0.239999994636, loop: 90
percent test accuracy 0.233999997377, loop: 100
percent test accuracy 0.241999998689, loop: 110
percent test accuracy 0.239999994636, loop: 120
percent test accuracy 0.247999995947, loop: 130
percent test accuracy 0.252000004053, loop: 140
percent test accuracy 0.256000012159, loop: 150
percent test accuracy 0.25799998641, loop: 160
percent test accuracy 0.266000002623, loop: 170
percent test accuracy 0.270000010729, loop: 180
percent test accuracy 0.273999989033, loop: 190
percent test accuracy 0.273999989033, loop: 200
percent test accuracy 0.273999989033, loop: 210
percent test accuracy 0.277999997139, loop: 220
percent test accuracy 0.284000009298, loop: 230
percent test accuracy 0.286000013351, loop: 240
percent test accuracy 0.280000001192, loop: 250
percent test accuracy 0.287999987602, loop: 260
percent test accuracy 0.286000013351, loop: 270
percent test accuracy 0.296000003815, loop: 280
percent test accuracy 0.300000011921, loop: 290
percent test accuracy 0.303999990225, loop: 300
percent test accuracy 0.300000011921, loop: 310
percent test accuracy 0.303999990225, loop: 320
percent test accuracy 0.301999986172, loop: 330
percent test accuracy 0.305999994278, loop: 340
percent test accuracy 0.310000002384, loop: 350
percent test accuracy 0.316000014544, loop: 360
percent test accuracy 0.317999988794, loop: 370
percent test accuracy 0.321999996901, loop: 380
percent test accuracy 0.319999992847, loop: 390
percent test accuracy 0.319999992847, loop: 400
percent test accuracy 0.307999998331, loop: 410
percent test accuracy 0.31400001049, loop: 420
percent test accuracy 0.316000014544, loop: 430
percent test accuracy 0.32800000906, loop: 440
percent test accuracy 0.316000014544, loop: 450
percent test accuracy 0.321999996901, loop: 460
percent test accuracy 0.319999992847, loop: 470
percent test accuracy 0.32800000906, loop: 480
percent test accuracy 0.317999988794, loop: 490
percent test accuracy 0.32800000906, loop: 500
percent test accuracy 0.324000000954, loop: 510
percent test accuracy 0.32800000906, loop: 520
percent test accuracy 0.330000013113, loop: 530
percent test accuracy 0.319999992847, loop: 540
percent test accuracy 0.333999991417, loop: 550
percent test accuracy 0.333999991417, loop: 560
percent test accuracy 0.331999987364, loop: 570
percent test accuracy 0.337999999523, loop: 580
percent test accuracy 0.33599999547, loop: 590
percent test accuracy 0.331999987364, loop: 600
percent test accuracy 0.342000007629, loop: 610
percent test accuracy 0.345999985933, loop: 620
percent test accuracy 0.337999999523, loop: 630
percent test accuracy 0.333999991417, loop: 640
percent test accuracy 0.337999999523, loop: 650
percent test accuracy 0.340000003576, loop: 660
percent test accuracy 0.340000003576, loop: 670
percent test accuracy 0.33599999547, loop: 680
percent test accuracy 0.342000007629, loop: 690
percent test accuracy 0.340000003576, loop: 700
percent test accuracy 0.342000007629, loop: 710
percent test accuracy 0.356000006199, loop: 720
percent test accuracy 0.340000003576, loop: 730
percent test accuracy 0.347999989986, loop: 740
percent test accuracy 0.347999989986, loop: 750
percent test accuracy 0.34999999404, loop: 760
percent test accuracy 0.344000011683, loop: 770
percent test accuracy 0.345999985933, loop: 780
percent test accuracy 0.342000007629, loop: 790
percent test accuracy 0.340000003576, loop: 800
